"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2016-03-30",48.400002,49.16,48.150002,48.650002,16794200,48.280261,312
"2016-03-31",48.599998,48.84,48.27,48.360001,16397600,47.992464,313
"2016-04-01",48.23,48.580002,47.779999,48.450001,14321400,48.08178,314
"2016-04-04",48.419998,48.669998,48.200001,48.5,12110200,48.1314,315
"2016-04-05",48.080002,48.09,47.459999,47.509998,18297700,47.148922,316
"2016-04-06",47.389999,48.130001,47.220001,48.080002,17214400,47.714593,317
"2016-04-07",47.709999,47.779999,46.619999,46.93,17593100,46.573332,318
"2016-04-08",47.349998,47.650002,46.970001,47.07,12236500,46.712267,319
"2016-04-11",47.110001,47.709999,47,47.029999,15113500,46.67257,320
"2016-04-12",47.139999,47.830002,46.950001,47.77,18772600,47.406948,321
"2016-04-13",48.290001,49.25,48.27,49.029999,26311900,48.65737,322
"2016-04-14",48.299999,49.299999,48.169998,48.790001,30067900,48.419196,323
"2016-04-15",48.619999,48.939999,48.060001,48.25,24885200,47.8833,324
"2016-04-18",48.25,48.880001,47.91,48.84,18225800,48.468816,325
"2016-04-19",49.009998,49.919998,48.98,49.880001,18673400,49.500913,326
"2016-04-20",49.98,50.52,49.759998,50.450001,22647700,50.06658,327
"2016-04-21",50.549999,50.779999,49.93,50.049999,20255400,49.669619,328
"2016-04-22",50.049999,50.740002,50.049999,50.619999,16365700,50.235286,329
"2016-04-25",50.310001,50.599998,50.119999,50.509998,11689100,50.126122,330
"2016-04-26",50.509998,50.990002,50.450001,50.919998,13333500,50.533006,331
"2016-04-27",50.869999,51.41,50.720001,50.93,15342700,50.542932,332
"2016-04-28",50.509998,50.93,50.200001,50.41,15506300,50.026883,333
"2016-04-29",50.459999,50.459999,49.68,49.98,17887000,49.600151,334
"2016-05-02",50.279999,50.700001,50.150002,50.59,14780300,50.205516,335
"2016-05-03",49.860001,50.130001,49.540001,50,16246400,49.62,336
"2016-05-04",49.060001,49.27,48.68,48.939999,22402500,48.939999,337
"2016-05-05",48.970001,49.189999,48.77,48.959999,15953600,48.959999,338
"2016-05-06",48.709999,49.119999,48.650002,49.02,14153300,49.02,339
"2016-05-09",49.02,49.220001,48.810001,48.880001,13723000,48.880001,340
"2016-05-10",49,49.509998,49,49.400002,14187800,49.400002,341
"2016-05-11",49.360001,49.720001,49.080002,49.080002,16638700,49.080002,342
"2016-05-12",49.34,49.580002,49.049999,49.200001,13566200,49.200001,343
"2016-05-13",49.099998,49.43,48.209999,48.240002,24987000,48.240002,344
"2016-05-16",48.119999,48.630001,47.939999,48.27,19581200,48.27,345
"2016-05-17",48.139999,48.169998,47.549999,47.619999,21423400,47.619999,346
"2016-05-18",47.68,48.720001,47.619999,48.650002,29983000,48.650002,347
"2016-05-19",48.439999,48.959999,48.16,48.380001,13543000,48.380001,348
"2016-05-20",48.619999,49.209999,48.560001,48.75,13219800,48.75,349
"2016-05-23",48.759998,48.880001,48.349998,48.700001,10428300,48.700001,350
"2016-05-24",49.049999,49.369999,48.689999,49.200001,16409400,49.200001,351
"2016-05-25",49.580002,50.830002,49.509998,50.5,22478600,50.5,352
"2016-05-26",50.52,50.66,50.400002,50.549999,14733900,50.549999,353
